"STATION","SIZE_BIN","TOTAL_CRAB"
"61-07-B",54,1
"61-14",37,1
"61-14-B",102,1
"61-15-B",40,1
"61-15-B",52,1
"61-15-B",58,2
"61-21",36,1
"61-21",47,1
"61-21-B",61,1
"N-31",104,1
"N-31-B",101,1
"O-31",54,1
"P-31",50,1
"P-31",53,1
"P-31",56,1
"P-31",97,1
"P-31",116,1
"P-31-B",44,2
"P-31-B",45,1
"P-31-B",52,1
"P-31-B",56,1
"P-31-B",58,1
"P-31-B",66,1
"P-31-B",68,1
"P-31-B",82,1
"P-31-B",108,1
"P-31-B",117,1
"P-32-B",51,1
"P-32-B",53,1
"P-32-B",54,1
"P-32-B",65,1
"Q-31",74,2
"Q-31",94,1
"Q-31",96,1
"Q-31",99,1
"Q-31",100,1
"Q-31",105,1
"Q-31",107,2
"Q-31",108,1
"Q-31",109,2
"Q-31",113,1
"Q-31",114,1
"Q-31",116,1
"Q-31",117,1
"Q-31",123,1
"Q-31-B",39,1
"Q-31-B",68,1
"Q-31-B",74,1
"Q-31-B",81,1
"Q-31-B",94,1
"Q-31-B",98,2
"Q-31-B",105,2
"Q-31-B",107,1
"Q-31-B",112,1
"Q-31-B",113,1
"Q-31-B",116,1
"Q-31-B",120,1
"R-31",40,1
"R-31",51,1
"R-31",55,1
"R-31",59,1
"R-31",60,1
"R-31",61,1
"R-31",62,1
"R-31",63,1
"R-31",64,1
"R-31",71,2
"R-31",73,1
"R-31",74,1
"R-31",75,1
"R-31",77,1
"R-31",79,1
"R-31",80,2
"R-31",83,5
"R-31",85,1
"R-31",89,1
"R-31",90,2
"R-31",91,1
"R-31",92,2
"R-31",93,3
"R-31",94,3
"R-31",96,3
"R-31",97,1
"R-31",98,2
"R-31",99,2
"R-31",100,2
"R-31",101,2
"R-31",102,3
"R-31",103,1
"R-31",105,4
"R-31",106,1
"R-31",110,2
"R-31",111,1
"R-31",112,2
"R-31",113,1
"R-31",114,1
"R-31",115,2
"R-31",116,2
"R-31",117,2
"R-31",118,1
"R-31",119,1
"R-31",120,2
"R-31",122,1
"R-31",123,2
"R-31",125,1
"R-31-B",34,1
"R-31-B",36,1
"R-31-B",38,1
"R-31-B",40,1
"R-31-B",51,1
"R-31-B",57,3
"R-31-B",58,2
"R-31-B",60,3
"R-31-B",61,1
"R-31-B",63,1
"R-31-B",65,1
"R-31-B",66,1
"R-31-B",67,1
"R-31-B",71,1
"R-31-B",72,1
"R-31-B",73,4
"R-31-B",76,4
"R-31-B",78,1
"R-31-B",81,2
"R-31-B",83,1
"R-31-B",84,1
"R-31-B",87,1
"R-31-B",88,1
"R-31-B",89,2
"R-31-B",91,1
"R-31-B",92,3
"R-31-B",93,2
"R-31-B",94,1
"R-31-B",95,2
"R-31-B",96,1
"R-31-B",97,3
"R-31-B",98,2
"R-31-B",100,1
"R-31-B",101,1
"R-31-B",102,2
"R-31-B",104,2
"R-31-B",105,4
"R-31-B",108,1
"R-31-B",109,1
"R-31-B",110,1
"R-31-B",112,2
"R-31-B",113,2
"R-31-B",114,1
"R-31-B",115,3
"R-31-B",119,1
"R-31-B",120,1
"R-31-B",123,1
"R-32",78,1
"R-32",83,1
"R-32",97,2
"R-32",101,1
"R-32",102,1
"R-32",107,1
"R-32",113,1
"R-32",116,1
"R-32",120,1
"R-32-B",69,1
"R-32-B",72,1
"R-32-B",87,1
"R-32-B",99,1
"R-32-B",103,1
"R-32-B",105,1
"R-32-B",110,1
"R-32-B",113,1
"R-32-B",115,1
"R-32-B",116,1
"R-32-B",121,1
